subject_area,subj_code,title,number,section_ids
Comparative Literature,COM LIT,Crisis of Consciousness in Modern Literature,C163,{5884021}
Asian American Studies,ASIA AM,Critical Approaches to Emerging Issues in Asian and Pacific Islander American Studies,200B,{5034}
Musicology,MUSCLG,"Critical, Cultural, and Social Theory",200B,{4716}
Education,EDUC,Critical Digital Media Literacies,137,{5881628}
Asian American Studies,ASIA AM,Critical Issues in Asian and Pacific Islander American Studies Methods,200D,{5886638}
Education,EDUC,Critical Issues in Education,98,"{2259,1933,5887811,1760}"
Social Welfare,SOC WLF,Critical Problems in Social Welfare,258,{5887725}
Law,LAW,Critical Race Theory,266,{5881382}
English,ENGL,Critical Reading and Writing,4W,"{3253,1716,10587499,10587025,2702,2367,13065634,10587164,1764,2045,3251,2101,10587465,10587055,10587417,10586964,10586932,10587077,10587386,2969,10587128,872,10587328,10587298}"
English,ENGL,Critical Reading and Writing (Honors),4HW,{1758}
English,ENGL,Critical Reading and Writing (Service Learning),4WS,"{2077,10586197,2076}"
Asian American Studies,ASIA AM,Critical Refugee Studies,178,{4793}
Society and Genetics,SOC GEN,"Critical Study of Health, Sickness, and Healing in Global Perspective",85,{10586834}
Communication,COMM,Critical Vision: History of Art as Social and Political Commentary,M169,{3025}
Honors Collegium,HNRS,Critical Vision: History of Art as Social and Political Commentary,M179,{1308}
Global Jazz Studies,GJ STDS,Cross-Cultural Perspectives in Jazz,101,{3095}
Mathematics,MATH,Cryptographic Protocols,M209B,{3421}
Computer Science,COM SCI,Cryptographic Protocols,M282B,{3535}
History,HIST,"Cultural and Intellectual History of Modern Europe, 16th Century",122B,{3872}
History,HIST,"Cultural and Intellectual History of Modern Europe, 19th Century",M122E,{10588970}
Art History,ART HIS,"Cultural and Intellectual History of Modern Europe, 19th Century",M127C,{10588280}
History,HIST,"Cultural and Intellectual History of Modern Europe, 20th Century",122F,{5881718}
Geography,GEOG,Cultural Geography,3,"{1129,5882337}"
Geography,GEOG,Cultural Geography of Modern World,133,{208}
Materials Science and Engineering,MAT SCI,Cultural Materials Science II: Characterization Methods in Conservation of Materials,C112,{5886048}
Conservation of Archaeological and Ethnographic Materials,CAEM,Cultural Materials Science II: Characterization Methods in Conservation of Materials,M210,{10585628}
Public Affairs,PUB AFF,"Cultural Policy and Cultural Diplomacy: Soft Power, Creative Economy, Innovation, and Arts",174,{2097}
Anthropology,ANTHRO,Culture and Communication,4,{2688}
Psychology,PSYCH,Culture and Human Development,133G,{5878655}
Psychology,PSYCH,Culture and Mental Health,129C,{5881893}
Sociology,SOCIOL,Culture and Personality,134,{10585551}
Anthropology,ANTHRO,Culture and Society,3,{1429}
Psychology,PSYCH,"Culture, Brain, and Development",M247,{17}
World Arts and Cultures,WL ARTS,Culture: Introduction,20,{814}
International Development Studies,INTL DV,"Culture, Power, and Development",110,{2147}
Anthropology,ANTHRO,"Culture, Power, Social Change",241,"{5881660,5062}"
English,ENGL,Cultures of Middle Ages: Romancing Islam,148,{5880563}
World Arts and Cultures,WL ARTS,Curating Cultures,C145,{2771}
World Arts and Cultures,WL ARTS,Curating Cultures,C245,{2929}
Film and Television,FILM TV,Current Business Practices in Film and Television: Discussion 1  ,289A,{5883937}
Psychology,PSYCH,Current Developments in Developmental Psychology,241,{5885046}
Asian,ASIAN,Current Issues in Buddhist Studies,261B,{2131}
Psychology,PSYCH,Current Issues in Clinical Psychology,289B,{5240}
Psychology,PSYCH,Current Issues in Clinical Psychology,289C,{5881921}
Education,EDUC,"Current Issues in Education: Education, Hip-Hop Culture, and Sport",191C,{1783}
Education,EDUC,Current Issues in Education: Seminar 1  ,191A,{5886640}
Education,EDUC,Current Issues in Education: Seminar 1  ,191D,{5879917}
Education,EDUC,Current Issues in Education: Seminar 2  ,191A,{5888436}
Education,EDUC,Current Issues in Education: Seminar 3  ,191A,{5886667}
Community Health Sciences,COM HLT,Current Issues in Food Studies,M217,{3768}
Psychology,PSYCH,Current Issues in Learning and Behavior,201,"{3556,5881918}"
Information Studies,INF STD,Current Issues in Librarianship,213,{1964}
Psychology,PSYCH,Current Issues in Quantitative Psychology,249,"{5885044,506}"
Urban Planning,URBN PL,Current Issues in Urban Planning: Writing for Planners,297,"{2393,4607}"
Psychology,PSYCH,Current Literature in Social Psychology,226B,{3652}
Psychology,PSYCH,Current Literature in Social Psychology,226C,{5881885}
Statistics,STATS,Current Literature in Statistics,290,"{2987,5879273}"
Linguistics,LING,Current Methods of Language Teaching,M141,"{5885354,1789}"
"Earth, Planetary, and Space Sciences",EPS SCI,"Current Research in Earth, Planetary, and Space Sciences",295B,{5317}
"Earth, Planetary, and Space Sciences",EPS SCI,"Current Research in Earth, Planetary, and Space Sciences",295C,{5882019}
"Earth, Planetary, and Space Sciences",EPS SCI,Current Research in Geochemistry,235B,{384}
"Earth, Planetary, and Space Sciences",EPS SCI,Current Research in Geochemistry,235C,{5878860}
"Earth, Planetary, and Space Sciences",EPS SCI,Current Research in Tectonics,245B,{2166}
Computer Science,COM SCI,Current Topics in Computer Science: Programming Languages and Systems: Quantum Programming,239,{5886688}
Computer Science,COM SCI,Current Topics in Computer Science: System Design/Architecture: Lecture 1  ,259,{5883822}
Computer Science,COM SCI,Current Topics in Computer Science: System Design/Architecture: Lecture 2  ,259,{5883303}
Computer Science,COM SCI,Current Topics in Computer System Modeling Analysis: Lecture 1  ,219,{2177}
Computer Science,COM SCI,Current Topics in Computer Theory: Lecture 1  ,289A,{5881676}
Law,LAW,Current Topics in Criminal Law,503,{5888460}
Computer Science,COM SCI,Current Topics in Data Structures: Lecture 1  ,249,{95}
Computer Science,COM SCI,Current Topics in Data Structures: Lecture 2  ,249,{5129}
Computer Science,COM SCI,Current Topics in Data Structures: Lecture 80  ,249,{5883628}
Management,MGMT,Current Topics in Emerging Technologies and Markets: Cloud Computing and Big Data,275,"{4362,103532}"
Management,MGMT,Current Topics in Emerging Technologies and Markets: Health Care Technology,275,{3456}
Management,MGMT,Current Topics in Emerging Technologies and Markets: Seminar 2  ,275,{5885593}
Mechanical and Aerospace Engineering,MECH&AE,Current Topics in Mechanical Engineering,260,"{5883916,5883378,4384,5883970,3673,5883212,4117,5883679,4436,5309,4437,5883339,3579,4116,5883310,5308,5883998,4435,5363,4804,3997,5311,5883170,5310,5883834,5362,3679,5312,4423,5883433,5883414,4424,4118,5352,4597,5884029,5883566,3479,5882825,4112,5882923,2256555,4114,3583}"
Management-Master of Science in Business Analytics,MGMTMSA,Customer Analytics,410,{5882483}
Management,MGMT,Customer Assessment and Analytics,260A,"{103892,5882751}"
Dance,DANCE,Dance for Camera,C180,{1808}
Dance,DANCE,Dance for Camera,C280,{1851}
Theater,THEATER,Dance for Musical Theater I,34B,{3818}
Theater,THEATER,Dance for Musical Theater II,134B,{1193}
Theater,THEATER,Dance for Musical Theater III,134E,{72}
Dance,DANCE,Dance Production Practicum,441,"{5880725,2444,947}"
Italian,ITALIAN,"Dante's ""La Divina Commedia""",113,{5881092}
Biomathematics,BIOMATH,Data Analysis Strategies I,265A,{2048}
Management,MGMT,Data Analytics for Marketing and Finance,264B,"{828,883}"
Health Policy and Management,HLT POL,"Data Analytics: Identifying, Collecting, and Analyzing Data in Health Care",441,{5887682}
Management-Master of Science in Business Analytics,MGMTMSA,Data Analytics Industry Seminar I,407,{1146}
Computer Science,COM SCI,Database Systems,143,"{5883841,4889}"
Information Studies,INF STD,Data Curation and Policy,262B,{5881713}
Management-Master of Science in Business Analytics,MGMTMSA,Data Management,405,{3938}
Statistics,STATS,Data Management,405,{5885862}
Information Studies,INF STD,Data Management and Practice,262A,{3557}
Economics,ECON,Data Science for Financial Engineering,432,{5192}
Jewish Studies,JEWISH,Dead Sea Scrolls and Early Judaism,170,{5879402}
Economics,ECON,Debating Economics,19,{3651}
Psychology,PSYCH,Decision Making and Brain,112E,{10589160}
Communication,COMM,Decoding Media Strategies,133,{97}
Psychology,PSYCH,Departmental Honors Research Seminars,191BH,{3781}
Chemical Engineering,CH ENGR,Departmental Seminar,299,"{5888038,4612}"
Law,LAW,Depositions & Discovery Clinic: DEPOSITION SKILLS,702,{5882942}
Materials Science and Engineering,MAT SCI,Deposition Technologies and Their Applications,224,{3329}
Management-Master of Financial Engineering,MGMTMFE,Derivative Markets,406,"{898,621}"
Philosophy,PHILOS,Descartes,C109,{5888060}
Philosophy,PHILOS,Descartes,C209,{5888067}
Information Studies,INF STD,Descriptive Cataloging,461,{1676}
Mechanical and Aerospace Engineering,MECH&AE,Design and Analysis of Smart Grids,C237,{5882255}
Civil and Environmental Engineering,C&EE,Design and Construction of Tall Buildings,147,{1264}
Theater,THEATER,Design Assignment: Assistant Designer,173A,"{4078,4189,3497,3909,4623}"
Design / Media Arts,DESMA,Design Futures,104,{5887224}
Mechanical and Aerospace Engineering,MECH&AE,Design of Aerospace Structures,154B,{5881336}
Mechanical and Aerospace Engineering,MECH&AE,Design of Composite Structures,166C,{3736}
Civil and Environmental Engineering,C&EE,Design of Foundations and Earth Structures,121,{313}
Civil and Environmental Engineering,C&EE,Design of Prestressed Concrete Structures,143,{5882372}
Civil and Environmental Engineering,C&EE,Design of Reinforced Concrete Structures,142,{2574}
Electrical and Computer Engineering,EC ENGR,Design of Robotic Systems I,183DA,{3524}
Electrical and Computer Engineering,EC ENGR,Design of Robotic Systems II,183DB,{5880889}
Civil and Environmental Engineering,C&EE,Design of Wastewater Treatment Plants,157C,{5882246}
Theater,THEATER,Design Thesis Preparation,449B,"{4037,5079,4095}"
Theater,THEATER,Design Thesis Project,449C,{5885484}
Electrical and Computer Engineering,EC ENGR,Detection and Estimation in Communication,230A,{4949}
Community Health Sciences,COM HLT,Determinants of Health,M232,{5885179}
Health Policy and Management,HLT POL,Determinants of Health,M242,{5884222}
Biomathematics,BIOMATH,Deterministic Models in Biology,201,{2731}
"Molecular, Cell, and Developmental Biology",MCD BIO,Developmental Biology,138,"{5884419,1708}"
Psychology,PSYCH,Developmental Psychology,130,"{1100,5887268}"
Public Affairs,PUB AFF,Development and Its Governance,172,{5887743}
Portuguese,PORTGSE,Development of Portuguese and Spanish Languages,M205A,{906}
Spanish,SPAN,Development of Portuguese and Spanish Languages,M205A,{1749}
Sociology,SOCIOL,Development of Sociological Theory,101,"{5879464,2365,470,5879496}"
Economics,ECON,Deviations from Rationality: Introduction to Behavioral Economics,88S,{10586306}
Theater,THEATER,Dialects,124C,{5887024}
Chemical Engineering,CH ENGR,Diamonds in the Rough: Genome Mining for New Therapeutics,88S,{10587930}
Mathematics,MATH,Differential and Integral Calculus,31A,"{2135,2409}"
Mathematics,MATH,Differential and Integral Calculus Laboratory,31AL,{5377}
Mathematics,MATH,Differential Equations,33B,"{5881161,3388,3387,3052,5881123}"
Mathematics,MATH,Differential Geometry,120A,"{4396,5887189}"
Mathematics,MATH,Differential Geometry,225B,{4324}
Mathematics,MATH,Differential Geometry,226A,{5879479}
Materials Science and Engineering,MAT SCI,Diffusion and Diffusion-Controlled Reactions,131,{5143}
Materials Science and Engineering,MAT SCI,Diffusion and Diffusion-Controlled Reactions Laboratory,131L,"{5338,3339844,4799}"
Film and Television,FILM TV,Digital Audio Postproduction,C152C,{2833}
Film and Television,FILM TV,Digital Audio Postproduction,C452C,{2657}
Film and Television,FILM TV,Digital Cinematography,122E,{5882059}
Electrical and Computer Engineering,EC ENGR,Digital Communication Systems,230B,"{15082810,5884114}"
Mechanical and Aerospace Engineering,MECH&AE,Digital Control of Physical Systems,171B,"{5882268,5882249}"
Information Studies,INF STD,Digital Cultures and Societies,20,{3994}
Computer Science,COM SCI,Digital Design Project Laboratory,152B,"{389,5882927}"
Electrical and Computer Engineering,EC ENGR,Digital Electronic Circuits,115C,"{3562,5885315}"
Electrical and Computer Engineering,EC ENGR,Digital Image Processing I,211A,{3798}
Film and Television,FILM TV,Digital Imagery and Visualization,C142,{790}
Psychology,PSYCH,Digital Media and Human Development,167,{3741}
Film and Television,FILM TV,Digital Media Producing 2,297B,{4909}
Film and Television,FILM TV,Digital Media Studies,51,{919}
Information Studies,INF STD,Digital Preservation,241,{2109}
Electrical and Computer Engineering,EC ENGR,Digital Signal Processing,113,{5882020}
Electrical and Computer Engineering,EC ENGR,Digital Signal Processing Design,113DA,{3023}
Electrical and Computer Engineering,EC ENGR,Digital Signal Processing Design,113DB,"{4326,5880182}"
Electrical and Computer Engineering,EC ENGR,Digital Speech Processing,M214A,"{5008,4398}"
Law,LAW,Digital Technologies and the Constitution,386,{5884979}
"Earth, Planetary, and Space Sciences",EPS SCI,Dinosaurs and Their Relatives,17,{5878774}
Global Studies,GLBL ST,Directed Individual Research in Global Studies,199A,"{3062,48439,1066,3123,568,1019,1465,622,792,3001,797,1568,3119,2086,1591,799,342,2017,1803,2183,2295,284,1569,1238,1015,450,3120,1466,617,2230,2507,1022,909,677}"
Statistics,STATS,Directed Individual Study or Research,497,"{4817,5880447}"
Disability Studies,DIS STD,Directed Research in Disability Studies,199A,"{3575761,4016628}"
Disability Studies,DIS STD,Directed Research in Disability Studies,199B,"{5907131,3260730,2257433,8420739}"
Economics,ECON,Directed Research in Economics,199A,"{3343345,6415387}"
"Molecular, Cell, and Developmental Biology",MCD BIO,"Directed Research in Molecular, Cell, and Developmental Biology",199A,"{6687000,2805265,2793719,2811461,3148971,3566870,2246614,3219691,3148989,2179082,3088962,1961742,2433605,2664306,1956367,2693866,2664334}"
"Molecular, Cell, and Developmental Biology",MCD BIO,"Directed Research in Molecular, Cell, and Developmental Biology",199B,"{3566615,3340925,2410628,2705655,2134745,2393544,2416334,2370861,2377625,3136166,2929137,1823231,3231265,2694051,2635284}"
"Molecular, Cell, and Developmental Biology",MCD BIO,"Directed Research in Molecular, Cell, and Developmental Biology",199D,{2810823}
Neuroscience,NEUROSC,Directed Research in Neuroscience,199A,"{2365490,2647794,1984153,2636071,2224620,2286030,2770919,1696438,1696412,2399535,2308834,2660415,2549122,3554432,2636091,3227057,2660435,2543166,2297782,2525744,2297747,2641811,2706423,2122,2525785,2660364}"
Neuroscience,NEUROSC,Directed Research in Neuroscience,199B,"{1294065,2664889,2434790,2241303,2134929,2405641,2218728,2274993,1939967,2647600,2537542,2286784,2241259,2173916}"
Social Thought,SOC THT,Directed Research or Senior Thesis in Social Thought II,199B,{3340725}
Film and Television,FILM TV,Directing Actors for Camera Workshop,409,{4461}
Film and Television,FILM TV,Directing Cameras,163,{218}
Film and Television,FILM TV,Directing for Film and Television,459B,{5113}
Theater,THEATER,Directing for Stage,163A,{5313}
Law,LAW,Directors and Officers Liability Insurance: Lecture 1  ,918,{5880244}
Urban Planning,URBN PL,Disaster Management and Response,232,{5888257}
Political Science,POL SCI,Discourse before Democracy,163A,{4819}
Anthropology,ANTHRO,Discourse Laboratory,254,"{5074,5882937}"
Classics,CLASSIC,Discovering Romans,20,{1331}
Physiological Science,PHYSCI,Disease Mechanisms and Therapies,121,{2421}
Computer Science,COM SCI,Distributed Systems,134,{5885276}
Community Engagement and Social Change,CESC,Dive In: Community Engagement and Urban Ocean,19,{638}
Political Science,POL SCI,"Diversity, Disagreement, and Democracy",115D,{5888480}
Nursing,NURSING,DNP Scholarly Project Course III: Project Implementation,470C,{5322}
Social Welfare,SOC WLF,Doctoral Research Apprenticeship: Tutorial 2  ,284A,{221}
Social Welfare,SOC WLF,Doctoral Research Apprenticeship: Tutorial 2  ,284B,{3220}
